event,model_a,model_b,parameter,finite_n_a,finite_n_b,raw_W1,scale,full_norm_W1,independent_W1_abs_diff,balanced_seed,balanced_n_each,balanced_q05,balanced_median,balanced_q95
GW241002_030559,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_mass_source,14435,13544,0.08755922760821093,6.418811045430019,0.01364103523043418,1.3877787807814457e-17,370324083,4000,0.014627929667942114,0.022012166001696927,0.03480675165595629
GW241002_030559,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_spin,14435,13544,0.00752428538869056,0.060439971698443395,0.12449187478498347,8.673617379884035e-19,222619919,4000,0.10667458705469393,0.12833222079252654,0.14941550470009876
GW241002_030559,IMRPhenomXPNR,NRSur7dq4,chirp_mass_source,12554,13544,0.3581102161230174,3.010827588950505,0.11894079137485424,0.0,123208884,4000,0.10018655782309167,0.11785085869215364,0.13518926605167197
GW241002_030559,IMRPhenomXPNR,NRSur7dq4,chi_eff,12554,13544,0.025798386721593673,0.1820094619178707,0.14174200862829234,0.0,209192192,4000,0.12118412980208737,0.14139000510506017,0.16549424572404525
GW241002_030559,IMRPhenomXPNR,NRSur7dq4,luminosity_distance,12554,13544,27.04137630604897,700.1673626380222,0.03862130363255596,3.552713678800501e-15,261042947,4000,0.029786223627721018,0.04256117035882928,0.061220814470416114
GW241002_030559,IMRPhenomXPNR,NRSur7dq4,final_mass_source,12554,13544,0.49127279030981497,6.351287255685598,0.07735011353328938,5.551115123125783e-17,222639115,4000,0.05860230985796715,0.07928333913083846,0.10005389921206055
GW241002_030559,IMRPhenomXPNR,NRSur7dq4,final_spin,12554,13544,0.009572465950061997,0.06216134881486257,0.15399385844364516,3.469446951953614e-18,982544933,4000,0.12997448823936375,0.154880980953045,0.1781233267030144
GW241009_022835,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chirp_mass_source,15066,16243,0.17608654159578657,5.678996319436411,0.03100663069513339,0.0,958508196,4000,0.018207934509528602,0.03216204025997184,0.04679037459843405
GW241009_022835,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chi_eff,15066,16243,0.04062915827786007,0.20448964541819728,0.19868565078085137,0.0,540237953,4000,0.1762384538018737,0.20315956617058745,0.2307656507590709
GW241009_022835,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,luminosity_distance,15066,16243,23.065007126752803,2850.8582638459875,0.008090548526827375,0.0,68965366,4000,0.013836041045345788,0.018660678183992033,0.03228683299392153
GW241009_022835,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_mass_source,15066,16243,0.46642078366635287,12.23358244684351,0.03812626315251572,0.0,97218561,4000,0.02206766943996856,0.04398044711599325,0.062440653297969884
GW241009_022835,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_spin,15066,16243,0.014844993892735388,0.08495644473112512,0.17473652457700706,0.0,661163078,4000,0.15136774705436493,0.17897288996691202,0.2057865816094881
GW241009_022835,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chirp_mass_source,15066,16523,0.406821699770963,5.596224528203232,0.07269574294610735,0.0,208766728,4000,0.05267274687734476,0.07534944656559789,0.09045969877920645
GW241009_022835,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chi_eff,15066,16523,0.017673833160220014,0.20426240670328,0.08652513913582617,3.469446951953614e-18,613344282,4000,0.06184067051037631,0.08556798985109465,0.11049795576004494
GW241009_022835,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,luminosity_distance,15066,16523,105.98562558400037,2855.906901332452,0.03711102260880833,1.4210854715202004e-14,91510537,4000,0.020419285233456583,0.03740199388118705,0.06424053996018231
GW241009_022835,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_mass_source,15066,16523,1.2329651803860215,12.054250288395522,0.10228468389883873,2.220446049250313e-16,664058630,4000,0.08390077635194239,0.10085997211183936,0.1273526304715506
GW241009_022835,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_spin,15066,16523,0.01721608410633981,0.08311389027954103,0.20713847045826048,0.0,994707145,4000,0.1907734512134573,0.20727385303472037,0.23334284408311445
GW241009_022835,IMRPhenomXPNR,NRSur7dq4,chirp_mass_source,16243,16523,0.2584916440798625,5.507594083702857,0.04693367741910163,0.0,278763140,4000,0.028103308406657982,0.046605767722688915,0.0670565022552079
GW241009_022835,IMRPhenomXPNR,NRSur7dq4,chi_eff,16243,16523,0.022973952770913526,0.20112262873603412,0.11422858240912302,0.0,785773546,4000,0.09185635176665523,0.11477882776460249,0.142586091150902
GW241009_022835,IMRPhenomXPNR,NRSur7dq4,luminosity_distance,16243,16523,110.44294220947293,2859.2504497409377,0.03862653662237934,1.4210854715202004e-14,954498039,4000,0.024671640437787818,0.03859041259864528,0.06435554342665019
GW241009_022835,IMRPhenomXPNR,NRSur7dq4,final_mass_source,16243,16523,0.7973169629070394,11.866419315003878,0.06719103225173523,0.0,131235238,4000,0.041479149006744084,0.06564936695030028,0.09367659030971157
GW241009_022835,IMRPhenomXPNR,NRSur7dq4,final_spin,16243,16523,0.0025737449844635274,0.08001957086528089,0.032163943853143445,0.0,894377370,4000,0.026217830553889713,0.03862588858328006,0.06257830712744898
GW241101_220523,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chirp_mass_source,17545,18125,0.05909228317153617,3.564720520597122,0.016576975061606707,6.938893903907228e-18,368268468,4000,0.012238199421679493,0.021435112319754236,0.04223723980198265
GW241101_220523,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chi_eff,17545,18125,0.02395333929330761,0.2689443629703362,0.089064292066793,0.0,985005015,4000,0.06324419807787156,0.08494729561559758,0.11045989785568897
GW241101_220523,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,luminosity_distance,17545,18125,21.027099155116282,990.0683776564501,0.021238027220795253,0.0,170175505,4000,0.01565451760538476,0.02725809452919431,0.04089020805169552
GW241101_220523,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_mass_source,17545,18125,0.19071513386945052,8.464707743770088,0.022530622396244492,2.7755575615628914e-17,562735865,4000,0.01582695876639224,0.027887517814595676,0.04846346960204192
GW241101_220523,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_spin,17545,18125,0.008133312306175944,0.14610314363464943,0.055668290933659756,1.734723475976807e-18,135983655,4000,0.04214472440366656,0.05636141275424504,0.07024451083413709
GW241101_220523,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chirp_mass_source,17545,16729,0.10432927018074271,3.516694993203572,0.02966685208196086,0.0,28756675,4000,0.018792909201895372,0.03424338380612402,0.05220959107219718
GW241101_220523,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chi_eff,17545,16729,0.0271119066910484,0.26585998715634435,0.10197813887316821,0.0,700397977,4000,0.08346050395106742,0.10384742476663984,0.1263735806104978
GW241101_220523,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,luminosity_distance,17545,16729,30.04374841789179,1015.4352943946283,0.02958706338428286,3.552713678800501e-15,107790264,4000,0.018638378168084124,0.03394569660860125,0.04926336255530593
GW241101_220523,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_mass_source,17545,16729,0.6274629201904205,8.15806478270753,0.07691320636732865,0.0,623619323,4000,0.06274149230109247,0.07908314618162829,0.09936472418017858
GW241101_220523,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_spin,17545,16729,0.021607788027345032,0.14433918419988306,0.1497014698200195,3.469446951953614e-18,247797530,4000,0.12442086602751895,0.14926509680518849,0.1670367153462824
GW241101_220523,IMRPhenomXPNR,NRSur7dq4,chirp_mass_source,18125,16729,0.0611906833880448,3.4810626451938678,0.017578162080055575,6.938893903907228e-18,981755987,4000,0.014965300679010737,0.022929854230348025,0.036346830887138644
GW241101_220523,IMRPhenomXPNR,NRSur7dq4,chi_eff,18125,16729,0.006262814819862121,0.25638351289676825,0.02442752558111573,1.734723475976807e-18,944276097,4000,0.016355255551285225,0.027976693927588656,0.044996315040523586
