endpoint_id,pair_id,event_id,role,target_id,key_exact,key_canonical,line_number,section,declaration_scope,inherited_into_sections,inherited_reference_count,value_text,value_text_truncated,value_sha256
PAIR00837:BASE,PAIR00837,GW231213_111417,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00837:VARIANT,PAIR00837,GW231213_111417,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00837:VARIANT,PAIR00837,GW231213_111417,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,2,1)]",false,bc200f256cf28b74cec3f8e364af97fbd24eb4ea100fb87bf554622a407e809f
PAIR00880:BASE,PAIR00880,GW231223_032836,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00880:BASE,PAIR00880,GW231223_032836,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00880:VARIANT,PAIR00880,GW231223_032836,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00880:VARIANT,PAIR00880,GW231223_032836,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,2,1)]",false,bc200f256cf28b74cec3f8e364af97fbd24eb4ea100fb87bf554622a407e809f
PAIR00918:BASE,PAIR00918,GW231226_101520,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00918:BASE,PAIR00918,GW231226_101520,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00918:VARIANT,PAIR00918,GW231226_101520,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00918:VARIANT,PAIR00918,GW231226_101520,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,1,0)]",false,26acb063da48cd3d13b325c6fcf635766d64ae0318ecb9d7b68d86e24b01ef1a
